N,P,K,temperature,humidity,ph,rainfall,soil_type,label,reference_title,reference_url,source,stats_source_title,stats_source_url
75.4,47.2,50.7,21.25,62.67,6.48,60.74,Loam,garlic,PCAARRD ISP – Vegetables Industry Profile (garlic),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
52.9,63.6,48.9,25.74,83.19,5.54,153.58,Loam,papaya,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
61.1,32.8,48.3,25.2,80.62,5.94,205.1,Volcanic Loam,cacao,PCAARRD ISP – Cacao Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/cacao/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
46.3,36,32.9,28.86,77.8,6.26,100.56,Loam,ampalaya,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
78.5,44,58.6,23.23,60.57,5.98,70.66,Loam,garlic,PCAARRD ISP – Vegetables Industry Profile (garlic),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
96.2,41.4,23.9,30.26,75.6,5.52,93.57,Loam,corn,DA – Philippine Yellow Corn Industry Roadmap,https://www.da.gov.ph/wp-content/uploads/2023/05/Philippine-Yellow-Corn-Industry-Roadmap.pdf,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
21.9,32.3,25.7,27.97,69.63,6.53,42.32,Sandy Loam,mungbean,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
42.6,47.6,39.3,31.58,68.05,6.38,90.72,Clay Loam,ampalaya,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
17.7,34.4,31.6,25.68,57.19,5.86,73.28,Sandy Loam,peanut,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
58.5,30.3,61,27.46,74.71,6.64,62.15,Sandy Loam,cassava,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
49.5,35.7,45.3,26.8,75.01,6.11,78.61,Loam,ampalaya,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
91.3,47.2,24.9,29.74,66.67,6.91,103.7,Sandy Loam,corn,DA – Philippine Yellow Corn Industry Roadmap,https://www.da.gov.ph/wp-content/uploads/2023/05/Philippine-Yellow-Corn-Industry-Roadmap.pdf,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
31.5,23,63.5,27.49,67.04,6.33,69.26,Loam,sweet_potato,PCAARRD ISP – Sweetpotato Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sweetpotato/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
74.9,47.5,63.7,20.3,61.03,6.29,64.12,Sandy Loam,tomato,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
55.1,46.7,53.4,30.2,81.36,6.39,168.77,Clay Loam,papaya,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
56.4,48.9,50.8,31.9,69.67,6.35,91.77,Loam,ampalaya,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
87.9,54.4,20.6,31.14,65,6.12,86.88,Loam,corn,DA – Philippine Yellow Corn Industry Roadmap,https://www.da.gov.ph/wp-content/uploads/2023/05/Philippine-Yellow-Corn-Industry-Roadmap.pdf,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
23.3,12.8,17.1,28.59,72.88,6.43,171.45,Clay Loam,calamansi,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
79.4,56,75.1,20.42,60.54,6.04,59.9,Loam,tomato,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
67.7,57.4,62.3,20.8,60.09,6.27,65.34,Loam,tomato,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
55.6,28.1,68.7,27.51,63.85,6.87,143.44,Sandy,cassava,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
77.6,39.1,57.7,23.72,62.55,6.21,56.02,Sandy Loam,onion,PCAARRD ISP – Vegetables Industry Profile (onion),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
43.2,33.3,84,25.86,57.53,6.06,119.82,Sandy Loam,cassava,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
71.3,46.7,55,25.66,68.67,6.87,61.19,Sandy Loam,onion,PCAARRD ISP – Vegetables Industry Profile (onion),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
15.8,37.5,28.6,28.31,68.21,6.92,60.83,Sandy Loam,mungbean,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
41,24.8,83.5,27.72,76.15,5.04,97.4,Volcanic Loam,pineapple,PCAARRD ISP – Queen Pineapple Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/queen-pineapple/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
20.7,44.2,28.4,28.25,70.23,6.72,53.88,Loam,mungbean,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
