N,P,K,temperature,humidity,ph,label,fertilizer
75.4,47.2,50.7,21.25,62.67,6.48,garlic,Complete (14-14-14)
52.9,63.6,48.9,25.74,83.19,5.54,papaya,Complete (14-14-14)
61.1,32.8,48.3,25.2,80.62,5.94,cacao,Complete (14-14-14)
46.3,36.0,32.9,28.86,77.8,6.26,ampalaya,Complete (14-14-14)
78.5,44.0,58.6,23.23,60.57,5.98,garlic,Complete (14-14-14)
96.2,41.4,23.9,30.26,75.6,5.52,corn,Urea (46-0-0)
21.9,32.3,25.7,27.97,69.63,6.53,mungbean,Ammonium Phosphate (16-20-0)
42.6,47.6,39.3,31.58,68.05,6.38,ampalaya,Complete (14-14-14)
17.7,34.4,31.6,25.68,57.19,5.86,peanut,Ammonium Phosphate (16-20-0)
58.5,30.3,61.0,27.46,74.71,6.64,cassava,Muriate of Potash (0-0-60)
49.5,35.7,45.3,26.8,75.01,6.11,ampalaya,Complete (14-14-14)
91.3,47.2,24.9,29.74,66.67,6.91,corn,Urea (46-0-0)
31.5,23.0,63.5,27.49,67.04,6.33,sweet_potato,Muriate of Potash (0-0-60)
74.9,47.5,63.7,20.3,61.03,6.29,tomato,Complete (14-14-14)
55.1,46.7,53.4,30.2,81.36,6.39,papaya,Complete (14-14-14)
56.4,48.9,50.8,31.9,69.67,6.35,ampalaya,Complete (14-14-14)
87.9,54.4,20.6,31.14,65.0,6.12,corn,Urea (46-0-0)
23.3,12.8,17.1,28.59,72.88,6.43,calamansi,Ammonium Sulfate (21-0-0)
79.4,56.0,75.1,20.42,60.54,6.04,tomato,Complete (14-14-14)
67.7,57.4,62.3,20.8,60.09,6.27,tomato,Complete (14-14-14)
55.6,28.1,68.7,27.51,63.85,6.87,cassava,Muriate of Potash (0-0-60)
77.6,39.1,57.7,23.72,62.55,6.21,onion,Complete (14-14-14)
43.2,33.3,84.0,25.86,57.53,6.06,cassava,Muriate of Potash (0-0-60)
71.3,46.7,55.0,25.66,68.67,6.87,onion,Complete (14-14-14)
15.8,37.5,28.6,28.31,68.21,6.92,mungbean,Ammonium Phosphate (16-20-0)
41.0,24.8,83.5,27.72,76.15,5.04,pineapple,Muriate of Potash (0-0-60)
20.7,44.2,28.4,28.25,70.23,6.72,mungbean,Ammonium Phosphate (16-20-0)
53.9,38.9,49.3,31.57,75.65,6.61,ampalaya,Complete (14-14-14)
23.8,45.6,23.5,24.84,60.88,6.63,mungbean,Ammonium Phosphate (16-20-0)
73.9,35.5,47.0,20.43,67.13,6.24,garlic,Complete (14-14-14)
45.7,39.0,33.8,29.36,66.41,6.44,ampalaya,Complete (14-14-14)
40.0,23.0,79.1,28.18,71.17,6.0,sweet_potato,Muriate of Potash (0-0-60)
69.9,48.0,53.6,23.26,60.64,6.45,garlic,Complete (14-14-14)
45.9,28.4,75.9,25.73,65.96,6.24,sweet_potato,Muriate of Potash (0-0-60)
37.0,35.0,70.0,24.45,63.24,6.53,sweet_potato,Muriate of Potash (0-0-60)
85.4,41.0,47.4,21.08,56.62,6.42,garlic,Complete (14-14-14)
18.4,12.9,26.0,25.26,89.98,6.94,coconut,Muriate of Potash (0-0-60)
112.5,43.0,51.2,32.42,79.01,5.91,sugarcane,Urea (46-0-0)
39.7,23.3,61.8,25.01,71.99,5.51,pineapple,Muriate of Potash (0-0-60)
80.3,30.5,77.5,31.38,92.99,5.04,abaca,Complete (14-14-14)
104.2,57.7,46.2,33.95,76.09,6.22,sugarcane,Urea (46-0-0)
15.6,45.9,23.0,26.04,66.27,6.82,mungbean,Ammonium Phosphate (16-20-0)
92.3,29.2,25.9,22.79,58.7,5.81,coffee,Complete (14-14-14)
50.0,26.9,77.2,28.77,64.7,4.91,pineapple,Muriate of Potash (0-0-60)
94.9,52.2,44.3,24.68,87.31,5.76,rice,Complete (14-14-14)
47.4,39.4,60.2,27.17,61.54,6.37,sweet_potato,Muriate of Potash (0-0-60)
73.5,47.0,58.7,20.7,57.56,6.21,garlic,Complete (14-14-14)
83.8,46.9,43.7,21.22,58.02,6.99,onion,Complete (14-14-14)
56.2,35.7,63.3,25.8,57.63,6.42,tobacco,Ammonium Sulfate (21-0-0)
39.4,32.9,78.4,24.93,67.38,5.72,sweet_potato,Muriate of Potash (0-0-60)
57.0,20.9,88.9,30.94,71.02,6.61,cassava,Muriate of Potash (0-0-60)
54.1,34.2,39.3,28.17,66.15,6.3,okra,Complete (14-14-14)
131.8,58.4,44.1,27.04,72.83,6.6,sugarcane,Urea (46-0-0)
22.9,15.5,20.3,28.85,83.43,6.1,calamansi,Ammonium Sulfate (21-0-0)
60.5,47.5,49.1,30.23,73.04,5.69,papaya,Complete (14-14-14)
52.9,26.0,89.7,22.75,68.83,5.56,tobacco,Ammonium Sulfate (21-0-0)
35.3,15.9,29.3,31.02,76.21,5.3,rubber,Ammonium Sulfate (21-0-0)
62.2,52.1,54.8,24.06,68.09,6.14,eggplant,Complete (14-14-14)
21.8,32.0,20.0,29.06,70.36,6.4,mungbean,Ammonium Phosphate (16-20-0)
91.4,44.4,85.0,21.27,64.5,6.67,tomato,Complete (14-14-14)
47.1,43.1,30.8,29.69,75.29,6.2,ampalaya,Complete (14-14-14)
73.9,40.3,72.2,25.3,86.81,4.93,abaca,Complete (14-14-14)
43.5,33.1,47.3,25.86,67.58,5.95,okra,Complete (14-14-14)
73.5,37.8,65.8,27.84,88.32,5.01,abaca,Complete (14-14-14)
57.7,38.9,42.7,27.32,67.65,6.32,ampalaya,Complete (14-14-14)
106.1,22.6,32.7,22.18,71.86,6.2,coffee,Complete (14-14-14)
25.7,48.0,42.3,29.35,67.71,6.36,peanut,Ammonium Phosphate (16-20-0)
122.4,57.3,59.3,34.46,79.78,7.05,sugarcane,Urea (46-0-0)
16.4,16.2,18.6,29.9,73.73,5.49,calamansi,Ammonium Sulfate (21-0-0)
45.5,29.3,86.8,26.2,71.1,5.81,cassava,Muriate of Potash (0-0-60)
84.9,60.2,57.6,25.78,77.71,6.66,eggplant,Complete (14-14-14)
40.4,57.9,49.1,26.86,89.48,6.37,papaya,Complete (14-14-14)
33.9,22.3,24.4,31.78,76.4,5.33,rubber,Ammonium Sulfate (21-0-0)
59.7,46.0,35.5,30.25,75.13,6.44,okra,Complete (14-14-14)
17.7,14.3,28.8,25.79,83.94,6.57,coconut,Muriate of Potash (0-0-60)
17.9,11.6,31.0,28.61,87.57,5.03,coconut,Muriate of Potash (0-0-60)
51.5,37.5,70.6,25.4,65.55,5.92,tobacco,Ammonium Sulfate (21-0-0)
97.7,49.6,22.6,30.19,70.68,6.7,corn,Urea (46-0-0)
103.2,20.5,29.4,24.13,63.46,5.47,coffee,Complete (14-14-14)
84.1,60.5,44.3,26.28,76.75,6.19,eggplant,Complete (14-14-14)
19.6,6.3,26.8,24.92,83.01,5.74,coconut,Muriate of Potash (0-0-60)
101.5,32.4,29.2,22.47,62.34,4.96,coffee,Complete (14-14-14)
17.5,14.6,19.4,28.89,77.31,5.63,calamansi,Ammonium Sulfate (21-0-0)
104.5,25.4,28.3,26.19,76.04,5.91,coffee,Complete (14-14-14)
52.0,15.3,79.5,28.62,77.15,4.77,pineapple,Muriate of Potash (0-0-60)
89.1,49.4,46.2,31.36,89.87,6.79,cacao,Complete (14-14-14)
50.4,34.2,61.4,22.58,61.89,6.71,sweet_potato,Muriate of Potash (0-0-60)
131.7,40.9,55.1,34.76,76.11,7.09,sugarcane,Urea (46-0-0)
90.7,56.0,21.1,27.96,63.64,5.69,corn,Urea (46-0-0)
