soil_moisture,soil_temperature,air_temperature,humidity,ph,nitrogen,phosphorus,potassium,crop
35.0,20.45,21.25,62.67,6.48,75.4,47.2,50.7,garlic
57.94,25.11,25.74,83.19,5.54,52.9,63.6,48.9,papaya
70.66,23.59,25.2,80.62,5.94,61.1,32.8,48.3,cacao
44.84,26.82,28.86,77.8,6.26,46.3,36.0,32.9,ampalaya
37.45,21.83,23.23,60.57,5.98,78.5,44.0,58.6,garlic
43.11,29.31,30.26,75.6,5.52,96.2,41.4,23.9,corn
30.45,26.59,27.97,69.63,6.53,21.9,32.3,25.7,mungbean
42.41,30.22,31.58,68.05,6.38,42.6,47.6,39.3,ampalaya
38.1,24.84,25.68,57.19,5.86,17.7,34.4,31.6,peanut
35.35,25.75,27.46,74.71,6.64,58.5,30.3,61.0,cassava
39.42,26.05,26.8,75.01,6.11,49.5,35.7,45.3,ampalaya
45.62,27.55,29.74,66.67,6.91,91.3,47.2,24.9,corn
37.11,25.94,27.49,67.04,6.33,31.5,23.0,63.5,sweet_potato
35.84,19.33,20.3,61.03,6.29,74.9,47.5,63.7,tomato
61.69,29.27,30.2,81.36,6.39,55.1,46.7,53.4,papaya
42.67,29.59,31.9,69.67,6.35,56.4,48.9,50.8,ampalaya
41.46,28.97,31.14,65.0,6.12,87.9,54.4,20.6,corn
62.35,26.49,28.59,72.88,6.43,23.3,12.8,17.1,calamansi
34.8,19.54,20.42,60.54,6.04,79.4,56.0,75.1,tomato
36.14,19.93,20.8,60.09,6.27,67.7,57.4,62.3,tomato
55.43,26.13,27.51,63.85,6.87,55.6,28.1,68.7,cassava
33.84,22.05,23.72,62.55,6.21,77.6,39.1,57.7,onion
49.6,24.37,25.86,57.53,6.06,43.2,33.3,84.0,cassava
35.12,24.13,25.66,68.67,6.87,71.3,46.7,55.0,onion
35.03,25.92,28.31,68.21,6.92,15.8,37.5,28.6,mungbean
44.06,26.78,27.72,76.15,5.04,41.0,24.8,83.5,pineapple
33.31,26.51,28.25,70.23,6.72,20.7,44.2,28.4,mungbean
46.24,29.86,31.57,75.65,6.61,53.9,38.9,49.3,ampalaya
30.91,23.14,24.84,60.88,6.63,23.8,45.6,23.5,mungbean
33.54,19.3,20.43,67.13,6.24,73.9,35.5,47.0,garlic
36.0,27.87,29.36,66.41,6.44,45.7,39.0,33.8,ampalaya
42.86,27.55,28.18,71.17,6.0,40.0,23.0,79.1,sweet_potato
28.63,21.78,23.26,60.64,6.45,69.9,48.0,53.6,garlic
50.25,25.19,25.73,65.96,6.24,45.9,28.4,75.9,sweet_potato
40.2,23.54,24.45,63.24,6.53,37.0,35.0,70.0,sweet_potato
31.32,19.52,21.08,56.62,6.42,85.4,41.0,47.4,garlic
65.87,24.4,25.26,89.98,6.94,18.4,12.9,26.0,coconut
69.81,31.25,32.42,79.01,5.91,112.5,43.0,51.2,sugarcane
55.86,23.39,25.01,71.99,5.51,39.7,23.3,61.8,pineapple
87.2,29.33,31.38,92.99,5.04,80.3,30.5,77.5,abaca
54.52,33.16,33.95,76.09,6.22,104.2,57.7,46.2,sugarcane
31.52,25.04,26.04,66.27,6.82,15.6,45.9,23.0,mungbean
75.14,21.62,22.79,58.7,5.81,92.3,29.2,25.9,coffee
49.83,27.49,28.77,64.7,4.91,50.0,26.9,77.2,pineapple
83.98,23.91,24.68,87.31,5.76,94.9,52.2,44.3,rice
36.92,26.45,27.17,61.54,6.37,47.4,39.4,60.2,sweet_potato
33.83,18.2,20.7,57.56,6.21,73.5,47.0,58.7,garlic
31.95,20.5,21.22,58.02,6.99,83.8,46.9,43.7,onion
33.84,24.77,25.8,57.63,6.42,56.2,35.7,63.3,tobacco
37.28,24.08,24.93,67.38,5.72,39.4,32.9,78.4,sweet_potato
41.77,30.16,30.94,71.02,6.61,57.0,20.9,88.9,cassava
36.25,26.56,28.17,66.15,6.3,54.1,34.2,39.3,okra
63.24,25.31,27.04,72.83,6.6,131.8,58.4,44.1,sugarcane
51.19,26.86,28.85,83.43,6.1,22.9,15.5,20.3,calamansi
67.12,29.42,30.23,73.04,5.69,60.5,47.5,49.1,papaya
35.36,22.25,22.75,68.83,5.56,52.9,26.0,89.7,tobacco
79.42,29.7,31.02,76.21,5.3,35.3,15.9,29.3,rubber
46.53,22.63,24.06,68.09,6.14,62.2,52.1,54.8,eggplant
40.13,27.11,29.06,70.36,6.4,21.8,32.0,20.0,mungbean
